Project,Accuracy,Precision,Recall,F1
caffe,0.896551724137931,0.9464285714285714,0.625,0.6716981132075472
incubator-mxnet,0.9615384615384616,0.9174603174603174,0.9174603174603174,0.9174603174603174
tensorflow,0.8993288590604027,0.9010511054729975,0.7483726150392817,0.7961696306429549
pytorch,0.9139072847682119,0.7860389610389611,0.7039351851851852,0.7356228956228956
keras,0.8656716417910447,0.8428150021070375,0.7547760726589414,0.7852564102564102
AVERAGE,0.9073995942592104,0.878758791501577,0.7499088380687452,0.7812414734380251
